bbdd,id,cv,algorithm,seed,nClients,epoch,iteration,instances,trAcc,trPr,trRc,trF1,trTime,teAcc,tePr,teRc,teF1,teTime,time
iris,3,3,CCBN,0,10,Client/Fusion,2,13,0.923076923076923,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,4,3,CCBN,0,10,Client/Fusion,2,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,5,3,CCBN,0,10,Client/Fusion,2,13,0.8461538461538461,0.8888888888888888,0.8666666666666667,0.85,0.001,0.8666666666666667,0.9047619047619048,0.8666666666666667,0.861111111111111,0.0,0.0
iris,6,3,CCBN,0,10,Client/Fusion,2,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,7,3,CCBN,0,10,Client/Fusion,2,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,8,3,CCBN,0,10,Client/Fusion,2,13,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,9,3,CCBN,0,10,Client/Fusion,2,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,0,3,CCBN,0,10,Client/Build,3,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,1,3,CCBN,0,10,Client/Build,3,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,2,3,CCBN,0,10,Client/Build,3,13,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,3,3,CCBN,0,10,Client/Build,3,13,0.923076923076923,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.001
iris,4,3,CCBN,0,10,Client/Build,3,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,5,3,CCBN,0,10,Client/Build,3,13,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,6,3,CCBN,0,10,Client/Build,3,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,7,3,CCBN,0,10,Client/Build,3,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,8,3,CCBN,0,10,Client/Build,3,13,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.001
iris,9,3,CCBN,0,10,Client/Build,3,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,0,3,CCBN,0,10,Client/Fusion,3,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,1,3,CCBN,0,10,Client/Fusion,3,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,2,3,CCBN,0,10,Client/Fusion,3,13,1.0,1.0,1.0,1.0,0.001,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,3,3,CCBN,0,10,Client/Fusion,3,13,0.923076923076923,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,4,3,CCBN,0,10,Client/Fusion,3,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,5,3,CCBN,0,10,Client/Fusion,3,13,0.8461538461538461,0.8888888888888888,0.8666666666666667,0.85,0.0,0.8666666666666667,0.9047619047619048,0.8666666666666667,0.861111111111111,0.0,0.0
iris,6,3,CCBN,0,10,Client/Fusion,3,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.001,0.0
iris,7,3,CCBN,0,10,Client/Fusion,3,13,1.0,1.0,1.0,1.0,0.001,1.0,1.0,1.0,1.0,0.0,0.0
iris,8,3,CCBN,0,10,Client/Fusion,3,13,1.0,1.0,1.0,1.0,0.001,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,9,3,CCBN,0,10,Client/Fusion,3,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,0,3,CCBN,0,10,Client/Build,4,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,1,3,CCBN,0,10,Client/Build,4,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,2,3,CCBN,0,10,Client/Build,4,13,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,3,3,CCBN,0,10,Client/Build,4,13,0.923076923076923,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,4,3,CCBN,0,10,Client/Build,4,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,5,3,CCBN,0,10,Client/Build,4,13,1.0,1.0,1.0,1.0,0.001,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,6,3,CCBN,0,10,Client/Build,4,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,7,3,CCBN,0,10,Client/Build,4,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,8,3,CCBN,0,10,Client/Build,4,13,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,9,3,CCBN,0,10,Client/Build,4,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,0,3,CCBN,0,10,Client/Fusion,4,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,1,3,CCBN,0,10,Client/Fusion,4,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,2,3,CCBN,0,10,Client/Fusion,4,13,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,3,3,CCBN,0,10,Client/Fusion,4,13,0.923076923076923,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.001,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,4,3,CCBN,0,10,Client/Fusion,4,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,5,3,CCBN,0,10,Client/Fusion,4,13,0.8461538461538461,0.8888888888888888,0.8666666666666667,0.85,0.0,0.8666666666666667,0.9047619047619048,0.8666666666666667,0.861111111111111,0.0,0.0
iris,6,3,CCBN,0,10,Client/Fusion,4,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,7,3,CCBN,0,10,Client/Fusion,4,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,8,3,CCBN,0,10,Client/Fusion,4,13,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,9,3,CCBN,0,10,Client/Fusion,4,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,0,3,CCBN,0,10,Client/Build,5,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,1,3,CCBN,0,10,Client/Build,5,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,2,3,CCBN,0,10,Client/Build,5,13,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,3,3,CCBN,0,10,Client/Build,5,13,0.923076923076923,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,4,3,CCBN,0,10,Client/Build,5,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,5,3,CCBN,0,10,Client/Build,5,13,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,6,3,CCBN,0,10,Client/Build,5,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,7,3,CCBN,0,10,Client/Build,5,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,8,3,CCBN,0,10,Client/Build,5,13,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,9,3,CCBN,0,10,Client/Build,5,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,0,3,CCBN,0,10,Client/Fusion,5,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,1,3,CCBN,0,10,Client/Fusion,5,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,2,3,CCBN,0,10,Client/Fusion,5,13,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,3,3,CCBN,0,10,Client/Fusion,5,13,0.923076923076923,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,4,3,CCBN,0,10,Client/Fusion,5,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,5,3,CCBN,0,10,Client/Fusion,5,13,0.8461538461538461,0.8888888888888888,0.8666666666666667,0.85,0.0,0.8666666666666667,0.9047619047619048,0.8666666666666667,0.861111111111111,0.0,0.0
iris,6,3,CCBN,0,10,Client/Fusion,5,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,7,3,CCBN,0,10,Client/Fusion,5,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,8,3,CCBN,0,10,Client/Fusion,5,13,1.0,1.0,1.0,1.0,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,9,3,CCBN,0,10,Client/Fusion,5,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,0,4,CCBN,0,10,Client/Build,1,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,1,4,CCBN,0,10,Client/Build,1,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,2,4,CCBN,0,10,Client/Build,1,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,3,4,CCBN,0,10,Client/Build,1,13,0.923076923076923,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.001
iris,4,4,CCBN,0,10,Client/Build,1,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,5,4,CCBN,0,10,Client/Build,1,13,0.923076923076923,0.9444444444444445,0.9166666666666666,0.9220779220779222,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.001
iris,6,4,CCBN,0,10,Client/Build,1,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,7,4,CCBN,0,10,Client/Build,1,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,8,4,CCBN,0,10,Client/Build,1,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,9,4,CCBN,0,10,Client/Build,1,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001
iris,0,4,CCBN,0,10,Client/Fusion,1,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,1,4,CCBN,0,10,Client/Fusion,1,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,2,4,CCBN,0,10,Client/Fusion,1,13,0.923076923076923,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,3,4,CCBN,0,10,Client/Fusion,1,13,0.923076923076923,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.001,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,4,4,CCBN,0,10,Client/Fusion,1,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,5,4,CCBN,0,10,Client/Fusion,1,13,0.8461538461538461,0.8888888888888888,0.8666666666666667,0.85,0.0,0.8666666666666667,0.9047619047619048,0.8666666666666667,0.861111111111111,0.0,0.0
iris,6,4,CCBN,0,10,Client/Fusion,1,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,7,4,CCBN,0,10,Client/Fusion,1,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
iris,8,4,CCBN,0,10,Client/Fusion,1,13,0.923076923076923,0.9333333333333332,0.9166666666666666,0.9153439153439153,0.0,0.9333333333333332,0.9444444444444445,0.9333333333333332,0.9326599326599326,0.0,0.0
iris,9,4,CCBN,0,10,Client/Fusion,1,13,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
